time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
24.18147,0.008162,-2.444546,-9,0,0,0
24.1938,0.008162,-2.444546,-9,0,0,0
24.20481,0.008162,-2.444546,-9,0,0,0
24.21511,0.008162,-2.444546,-9,0,0,0
24.22636,0.008162,-2.444546,-9,0,0,0
24.23703,0.008162,-2.444546,-9,0,0,0
24.24858,0.008162,-2.444546,-9,0,0,0
24.26003,0.008162,-2.444546,-9,0,0,0
24.27108,0.008162,-2.444546,-9,0,0,0
24.28134,0.008162,-2.444546,-9,0,0,0
24.29265,0.008162,-2.444546,-9,0,0,0
24.3052,0.008162,-2.444546,-9,0,0,0
24.31649,0.008162,-2.444546,-9,0,0,0
24.32704,0.008162,-2.444546,-9,0,0,0
24.33805,0.008162,-2.444546,-9,0,0,0
24.34898,0.008162,-2.444546,-9,0,0,0
24.35964,0.008162,-2.444546,-9,0,0,0
24.37102,0.008162,-2.444546,-9,0,0,0
24.38272,0.008162,-2.444546,-9,0,0,0
24.39404,0.008162,-2.444546,-9,0,0,0
24.40457,0.008162,-2.444546,-9,0,0,0
24.41491,0.008162,-2.444546,-9,0,0,0
24.42599,0.008162,-2.444546,-9,0,0,0
24.43799,0.008162,-2.444546,-9,0,0,0
24.44893,0.008162,-2.395571,-9,0,0,0
24.46222,0.089786,-2.248647,-9,0,0,0
24.47184,0.204061,-2.052749,-9,0,0,0
24.48468,0.448934,-1.709927,-9,0,0,0
24.49548,0.644832,-1.38343,-9,0,0,0
24.50672,0.808081,-1.089582,-9,0,0,0
24.51601,0.922355,-0.861034,-9,0,0,0
24.52898,1.069279,-0.599836,-9,0,0,0
24.53829,1.183553,-0.338639,-9,0,0,0
24.54987,1.314152,0.020509,-9,0,0,0
24.55985,1.444751,0.493929,-9,0,0,0
24.57213,1.656973,1.228549,-9,0,0,0
24.58366,1.852873,1.799919,-9,0,0,0
24.5944,2.130395,2.452913,-9,0,0,0
24.60587,2.391593,3.024283,-9,0,0,0
24.61709,2.571167,3.350781,-9,0,0,0
24.62775,2.669115,3.51403,-9,0,0,0
24.63798,2.71809,3.611979,-9,0,0,0
24.65018,2.750739,3.693603,-9,0,0,0
24.66191,2.78339,3.742577,-9,0,0,0
24.67333,2.816039,3.775228,-9,0,0,0
24.68441,2.865014,3.840527,-9,0,0,0
24.69592,2.946639,3.905826,-9,0,0,0
24.7065,3.028263,4.003776,-9,0,0,0
24.71771,3.109888,4.0854,-9,0,0,0
24.72785,3.158861,4.150699,-9,0,0,0
24.73888,3.224161,4.199674,-9,0,0,0
24.74868,3.25681,4.248648,-9,0,0,0
24.76125,3.305785,4.281298,-9,0,0,0
24.77268,3.371085,4.313948,-9,0,0,0
24.78455,3.452709,4.346598,-9,0,0,0
24.79563,3.501683,4.379248,-9,0,0,0
24.80484,3.550658,4.395573,-9,0,0,0
24.81586,3.583308,4.411898,-9,0,0,0
24.82718,3.648608,4.444547,-9,0,0,0
24.83968,3.697582,4.477197,-9,0,0,0
24.85022,3.730232,4.526172,-9,0,0,0
24.86117,3.795532,4.591471,-9,0,0,0
24.87096,3.82818,4.62412,-9,0,0,0
24.88361,3.877156,4.68942,-9,0,0,0
24.89577,3.92613,4.75472,-9,0,0,0
