experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,delay_time,inverted,correct_target_position,moved_time,correct,cursorfollower_movement_location_0
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,1,1,1,21.94667,22.73774,1.2,True,Left,22.30489,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T001.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,2,1,2,24.18147,24.9048,0.6,True,Left,24.46222,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T002.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,3,1,3,26.32685,26.82879,0.6,True,Right,26.56262,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T003.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,4,1,4,28.72634,29.43985,1.2,True,Right,29.04914,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T004.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,5,1,5,30.68219,31.3387,0.6,True,Left,30.97258,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T005.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,6,1,6,32.4158,33.3951,0.6,True,Right,32.67377,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T006.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,7,1,7,34.7383,35.56199,0.6,True,Right,35.03923,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T007.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,8,1,8,36.81594,37.68367,0.6,True,Right,37.01702,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T008.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,9,1,9,38.93598,39.69616,0.6,True,Left,39.19309,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T009.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,10,1,10,43.17087,43.75159,1.2,True,Right,43.44062,False,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T010.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,11,2,1,45.55066,46.18615,1.2,False,Left,45.8306,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T011.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,12,2,2,47.36173,47.90685,0.6,False,Right,47.6081,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T012.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,13,2,3,49.52863,50.00825,1.2,False,Left,49.83059,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T013.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,14,2,4,51.37286,52.69601,0.6,False,Right,51.64143,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T014.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,15,2,5,53.97308,54.52985,0.6,False,Left,54.2191,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T015.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,16,2,6,55.77276,56.53011,0.6,False,Right,56.02908,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T016.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,17,2,7,57.70614,58.12877,0.6,False,Left,57.96256,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T017.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,18,2,8,59.52977,60.51798,0.6,False,Left,59.81778,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T018.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,19,2,9,63.67289,64.33006,1.2,False,Right,63.94068,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T019.csv
movetotarget,lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a,1,20,2,10,65.60611,66.25249,0.6,False,Left,65.94038,True,movetotarget/lake-8d07a3a0-31d4-4830-9a2c-af16d83d8a0a/S001/trackers/cursorfollower_movement_T020.csv
