experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,delay_time,inverted,correct_target_position,moved_time,correct,cursorfollower_movement_location_0
movetotarget,jo_1,1,1,1,1,24.34917,24.96118,0.6,True,Left,24.67214,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T001.csv
movetotarget,jo_1,1,2,1,2,26.19852,26.91439,0.6,True,Right,26.49763,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T002.csv
movetotarget,jo_1,1,3,1,3,28.06827,28.7691,0.6,True,Right,28.38145,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T003.csv
movetotarget,jo_1,1,4,1,4,30.5802,31.09164,1.2,True,Right,30.91417,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T004.csv
movetotarget,jo_1,1,5,1,5,32.92422,33.49301,1.2,True,Right,33.23655,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T005.csv
movetotarget,jo_1,1,6,1,6,34.56891,35.081,0.6,True,Right,34.90232,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T006.csv
movetotarget,jo_1,1,7,1,7,36.85756,37.53682,1.2,True,Left,37.11464,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T007.csv
movetotarget,jo_1,1,8,1,8,38.78024,39.44756,0.6,True,Left,39.08139,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T008.csv
movetotarget,jo_1,1,9,1,9,40.64936,41.24541,0.6,True,Left,40.94219,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T009.csv
movetotarget,jo_1,1,10,1,10,42.39169,43.04884,0.6,True,Left,42.67013,False,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T010.csv
movetotarget,jo_1,1,11,2,1,44.86886,45.62576,1.2,False,Right,45.18134,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T011.csv
movetotarget,jo_1,1,12,2,2,46.87997,48.0031,0.6,False,Right,47.29289,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T012.csv
movetotarget,jo_1,1,13,2,3,49.31604,50.56086,0.6,False,Left,49.57228,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T013.csv
movetotarget,jo_1,1,14,2,4,52.46034,53.12746,0.6,False,Left,52.73989,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T014.csv
movetotarget,jo_1,1,15,2,5,54.88314,55.58335,1.2,False,Right,55.17234,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T015.csv
movetotarget,jo_1,1,16,2,6,56.82703,57.41628,0.6,False,Left,57.12795,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T016.csv
movetotarget,jo_1,1,17,2,7,58.58246,59.20527,0.6,False,Left,58.90516,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T017.csv
movetotarget,jo_1,1,18,2,8,61.3824,62.02729,1.2,False,Right,61.67311,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T018.csv
movetotarget,jo_1,1,19,2,9,63.27143,63.81691,0.6,False,Right,63.58409,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T019.csv
movetotarget,jo_1,1,20,2,10,64.96015,65.63839,0.6,False,Left,65.25008,True,movetotarget/jo_1/S001/trackers/cursorfollower_movement_T020.csv
