time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
227.4021,0,2.014551,0,0,270,90.00001
227.4143,0,2.028186,0,0,270,90.00001
227.4211,0,2.035868,0,0,270,90.00001
227.4322,0,2.048318,0,0,270,90.00001
227.4437,0,2.061248,0,0,270,90.00001
227.4549,0,2.073907,0,0,270,90.00001
227.4653,0,2.085531,0,0,270,90.00001
227.4763,0,2.097961,0,0,270,90.00001
227.4877,0,2.110765,0,0,270,90.00001
227.4984,0,2.122823,0,0,270,90.00001
227.5096,0,2.135388,0,0,270,90.00001
227.5217,0,2.149051,0,0,270,90.00001
227.5327,0,2.161375,0,0,270,90.00001
227.5439,0,2.174017,0,0,270,90.00001
227.8773,0,2.548872,0,0,270,90.00001
228.2106,0,2.923727,0,0,270,90.00001
228.5346,0,3.288125,0,0,270,90.00001
228.5406,0,3.294857,0,0,270,90.00001
228.5441,0,3.298743,0,0,270,90.00001
228.5553,0,3.31138,0,0,270,90.00001
228.5667,0,3.324167,0,0,270,90.00001
228.5775,0,3.336325,0,0,270,90.00001
228.5894,0,3.349729,0,0,270,90.00001
228.5998,0,3.361444,0,0,270,90.00001
228.6115,0,3.374603,0,0,270,90.00001
228.6227,0,3.387148,0,0,270,90.00001
228.6335,0,3.399309,0,0,270,90.00001
228.6452,0,3.412455,0,0,270,90.00001
228.6558,0,3.424332,0,0,270,90.00001
228.6671,0,3.437043,0,0,270,90.00001
228.6773,0,3.448585,0,0,270,90.00001
228.6899,0,3.462769,0,0,270,90.00001
228.7009,0,3.475136,0,0,270,90.00001
228.7117,0,3.48718,0,0,270,90.00001
228.7225,0,3.499355,0,0,270,90.00001
228.7339,0,3.512197,0,0,270,90.00001
228.744,0,3.52361,0,0,270,90.00001
228.7559,0,3.536949,0,0,270,90.00001
228.7675,0,3.550017,0,0,270,90.00001
228.7783,0,3.562133,0,0,270,90.00001
228.7899,0,3.575135,0,0,270,90.00001
228.7995,0,3.585962,0,0,270,90.00001
228.8116,0,3.599636,0,0,270,90.00001
228.8225,0,3.61187,0,0,270,90.00001
228.8328,0,3.62347,0,0,270,90.00001
228.8441,0,3.636191,0,0,270,90.00001
228.8554,0,3.648867,0,0,270,90.00001
228.8666,0,3.661434,0,0,270,90.00001
228.8773,0,3.673439,0,0,270,90.00001
228.8884,0,3.685916,0,0,270,90.00001
228.9012,0,3.700367,0,0,270,90.00001
228.9111,0,3.711505,0,0,270,90.00001
228.9234,0,3.725344,0,0,270,90.00001
228.9344,0,3.737695,0,0,270,90.00001
228.9457,0,3.750375,0,0,270,90.00001
228.9554,0,3.761294,0,0,270,90.00001
228.9676,0,3.775037,0,0,270,90.00001
228.9774,0,3.785986,0,0,270,90.00001
228.9887,0,3.798766,0,0,270,90.00001
228.9998,0,3.811178,0,0,270,90.00001
229.0115,0,3.824365,0,0,270,90.00001
229.0224,0,3.836659,0,0,270,90.00001
229.0345,0,3.850287,0,0,270,90.00001
229.0453,0,3.862405,0,0,270,90.00001
229.0556,0,3.87404,0,0,270,90.00001
229.0664,0,3.886117,0,0,270,90.00001
229.0774,0,3.898538,0,0,270,90.00001
229.0886,0,3.911112,0,0,270,90.00001
229.0998,0,3.923678,0,0,270,90.00001
229.1121,0,3.937538,0,0,270,90.00001
229.1222,0,3.948883,0,0,270,90.00001
229.1342,0,3.962399,0,0,270,90.00001
229.1448,0,3.974277,0,0,270,90.00001
229.1549,0,3.985669,0,0,270,90.00001
229.1667,0,3.99891,0,0,270,90.00001
229.1774,0,4.010917,0,0,270,90.00001
229.1889,0,4.02385,0,0,270,90.00001
229.201,0,4.037467,0,0,270,90.00001
229.211,0,4.048703,0,0,270,90.00001
229.2227,0,4.061934,0,0,270,90.00001
229.2343,0,4.074882,0,0,270,90.00001
229.2452,0,4.08716,0,0,270,90.00001
229.2553,0,4.098595,0,0,270,90.00001
229.2668,0,4.111475,0,0,270,90.00001
229.2778,0,4.12387,0,0,270,90.00001
229.2887,0,4.136106,0,0,270,90.00001
229.2997,0,4.148469,0,0,270,90.00001
229.3106,0,4.160698,0,0,270,90.00001
229.3224,0,4.174074,0,0,270,90.00001
229.3336,0,4.186659,0,0,270,90.00001
229.3446,0,4.199002,0,0,270,90.00001
229.355,0,4.21072,0,0,270,90.00001
229.3662,0,4.223269,0,0,270,90.00001
229.3773,0,4.235806,0,0,270,90.00001
229.3887,0,4.248562,0,0,270,90.00001
229.3994,0,4.260645,0,0,270,90.00001
229.4117,0,4.274382,0,0,270,90.00001
229.4226,0,4.286689,0,0,270,90.00001
229.4327,0,4.298067,0,0,270,90.00001
229.4442,0,4.310987,0,0,270,90.00001
229.4552,0,4.323347,0,0,270,90.00001
229.4662,0,4.3357,0,0,270,90.00001
229.4774,0,4.348273,0,0,270,90.00001
229.489,0,4.361302,0,0,270,90.00001
229.4994,0,4.373059,0,0,270,90.00001
229.5115,0,4.38667,0,0,270,90.00001
229.5217,0,4.398135,0,0,270,90.00001
229.533,0,4.410882,0,0,270,90.00001
229.5448,0,4.424107,0,0,270,90.00001
229.555,0,4.435613,0,0,270,90.00001
229.5665,0,4.448539,0,0,270,90.00001
229.5777,0,4.461051,0,0,270,90.00001
229.5892,0,4.474062,0,0,270,90.00001
229.5996,0,4.485786,0,0,270,90.00001
229.6115,0,4.49916,0,0,270,90.00001
229.6226,0,4.511592,0,0,270,90.00001
229.6329,0,4.523174,0,0,270,90.00001
229.6447,0,4.536429,0,0,270,90.00001
229.6554,0,4.548494,0,0,270,90.00001
229.6671,0,4.56167,0,0,270,90.00001
229.6799,0,4.576065,0,0,270,90.00001
229.6891,0,4.586407,0,0,270,90.00001
229.7002,0,4.598827,0,0,270,90.00001
229.7121,0,4.612305,0,0,270,90.00001
229.7234,0,4.62498,0,0,270,90.00001
229.7346,0,4.637595,0,0,270,90.00001
229.7457,0,4.650044,0,0,270,90.00001
229.7573,0,4.663111,0,0,270,90.00001
